Coordinates,Zip_codes
"50.10760825, 8.686441417000001",60311
"50.11533175, 8.689336817000001",60313
"50.109191700000004, 8.684148417000001",60311
"50.11188817, 8.677418532999999",60311
"50.1303294, 8.6452898",60487
"50.1284761, 8.646965699999999",60487
"50.11489643, 8.682280383",60313
"50.12905472, 8.6682339",60323
"50.1504859, 8.6887066",60435
"50.10042593, 8.717434067000001",60599
"50.112196600000004, 8.677038900000001",60311
"50.11070978, 8.651270217",60486
"50.12607379999999, 8.641885400000001",60487
"50.10695735, 8.623285483",60486
"50.09769505, 8.646912282999999",60327
"50.1303241, 8.6454874",60487
"50.11080738, 8.675782433",60311
"50.106040899999996, 8.69216265",60594
"50.10995662, 8.669220800000002",60329
"50.17814888, 8.625381532999999",60438
"50.11144492, 8.666572533",60329
"50.05235948, 8.5856497",60549
"50.109922600000004, 8.6863812",60311
"50.11289977, 8.679721783",60313
"50.12055485, 8.6452397",60486
"50.1285882, 8.6293269",60487
"50.1321742, 8.69229605",60318
"50.1066792, 8.697514199999999",60594
"50.1135436, 8.6278981",60486
"50.11248302, 8.650295083",60486
"50.10151457, 8.640127383",60326
"50.1023982, 8.6827093",60594
"50.12750833, 8.685219983",60318
"50.1300222, 8.683962900000001",60322
"50.12407653, 8.68011425",60322
"50.0950982, 8.674654967",60596
"50.1083773, 8.680141117",60596
"50.10927603, 8.662659417",60329
"50.1059982, 8.7158174",60314
"50.10273338, 8.642230717",60326
"50.11525595, 8.689977483",60313
"50.1136876, 8.7155235",60314
"50.11824077, 8.694896667",60316
"50.1318439, 8.672596317",60322
"50.15884292, 8.687801333",60435
"50.13267227, 8.6836625",60320
"50.0965784, 8.6600473",60596
"50.10799727, 8.66654675",60329
"50.10447403, 8.661199332999999",60329
"50.12363653, 8.692025417",60316
"50.1035054, 8.6450505",60327
"50.10529192, 8.721623583",60594
"50.12219605, 8.668001732999999",60322
"50.12520482, 8.686768167",60318
"50.12053882, 8.6800375",60318
"50.11059335, 8.685939017",60311
"50.12466415, 8.6993721",60385
"50.1182285, 8.679825099999999",60318
"50.123562299999996, 8.6591561",60323
"50.12215083, 8.667822783",60323
"50.11752743, 8.626789867000001",60486
"50.121216100000005, 8.6602338",60323
"50.10600335, 8.634576033",60326
"50.10961393, 8.661020717000001",60329
"50.12548317, 8.706347067000001",60385
"50.11489827, 8.686768683",60313
"50.1244646, 8.6916996",60318
"50.107305700000005, 8.6775095",60596
"50.11459555, 8.722853033",60314
"50.10469883, 8.671431017",60596
"50.111366700000005, 8.7393184",63067
"50.12913458, 8.691564583",60318
"50.1105455, 8.6540851",60327
"50.1061622, 8.6876372",60594
"50.1238902, 8.715616082999999",60385
"50.12464593, 8.650049633",60487
"50.10979267, 8.687749132999999",60311
"50.10702587, 8.671041617",60329
"50.098704, 8.547692199999998",65929
"50.10283593, 8.6907456",60594
"50.10082258, 8.639214967000001",60326
"50.1105853, 8.675324",60311
"50.10590493, 8.6645891",60329
"50.10007855, 8.637088533",60326
"50.1006541, 8.630836",60326
"50.11267587, 8.65522685",60325
"50.1237589, 8.6915812",60318
"50.13800703, 8.7173113",60389
"50.11222670000001, 8.6766367",60311
"50.1166936, 8.657214999999999",60325
"50.1141463, 8.6717445",60311
"50.13711412, 8.732894417",60388
"50.10417752, 8.646095767",60327
"50.1079857, 8.690119000000001",60594
"50.1067323, 8.694775",60594
"50.10998789999999, 8.69094865",60311
"50.12636018, 8.695363217",60316
"50.08218253, 8.619164567",60528
"50.10055477, 8.65814035",60327
"50.12791288, 8.75265895",60386
"50.1202327, 8.68054825",60318
"50.11383288, 8.66005075",60325
"50.1083535, 8.6823766",60311
"50.1114545, 8.7107306",60314
"50.10160245, 8.70056145",60599
"50.10878387, 8.65629845",60327
"50.1257901, 8.6804676",60322
"50.11297205, 8.650144500000001",60308
"50.12946008, 8.693165817",60318
"50.082189, 8.6332945",60528
"50.1243421, 8.704302867",60385
"50.13854467, 8.5840264",65760
"50.1404222, 8.661666199999999",60320
"50.10420142, 8.674252417",60596
"50.118506599999996, 8.6944108",60316
"50.1055124, 8.6749977",60596
"50.1136192, 8.6795472",60313
"50.109734100000004, 8.6606439",60329
"50.132011600000006, 8.673041217",60322
"50.1153724, 8.6736274",60313
"50.1227855, 8.7070823",60385
"50.012024700000005, 8.597840099999999",64546
"50.10342643, 8.673004767",60596
"50.101760399999996, 8.6643432",60329
"50.1115518, 8.712211317000001",60314
"50.11635647, 8.67310575",60313
"50.1117418, 8.6794345",60311
"50.1157653, 8.659558800000001",60325
"50.11879577, 8.6780171",60322
"50.17944135, 8.5866618",61440
"50.10986542, 8.69870305",60314
"50.12228629999999, 8.6467255",60487
"50.11543902, 8.64855405",60486
"50.117588500000004, 8.647709967",60486
"50.11563677, 8.631097683",60486
"50.096548600000006, 8.6553954",60327
"50.11769685, 8.68670815",60313
"50.10844095, 8.657166267000001",60327
"50.10752479999999, 8.665341883",60329
"50.09415192, 8.671188883",60596
"50.117442700000005, 8.6857614",60313
"50.10489183, 8.663486983",60329
"50.10736695, 8.682778433",60594
"50.10992535, 8.687550117",60311
"50.1246917, 8.6789781",60322
"50.11418582, 8.68195405",60313
"50.08233373, 8.619131283",60528
"50.1008633125, 8.691326825",60598
"50.08456703, 8.632710867",60528
"50.11709448, 8.671843532999999",60322
"50.10848642, 8.633571182999999",60486
"50.103170299999995, 8.66361435",60329
"50.1024604, 8.6891031",60594
"50.11487225, 8.69256255",60313
"50.12085307, 8.651156033",60325
"50.1158471, 8.634032199999998",60486
"50.1135777, 8.6278273",60486
"50.10575342, 8.664658717",60329
"50.11209558, 8.6572948",60325
"50.120869299999995, 8.7731801",60386
"50.1316808, 8.682960367",60322
"50.1058495, 8.6647867",60329
"50.106079, 8.69848415",60594
"50.1052, 8.68712385",60594
"50.15642277, 8.632150783",60439
"50.11457308, 8.697896317",60316
"50.1637998, 8.6549844",60433
"50.11911773, 8.699127783",60316
"50.1317118, 8.6460425",60487
"50.09702322, 8.627712933",60326
"50.11611842, 8.696659083",60316
"50.1181807, 8.679246000000001",60322
"50.1134283, 8.677841099999998",60313
"50.17653320000001, 8.6604053",60433
"50.1099982, 8.6849925",60311
"50.14269667, 8.716015017",60389
"50.12009817, 8.691477917",60316
"50.11344735, 8.668384817",60325
"50.10762365, 8.665272367",60329
"50.10447532, 8.6998097",60594
"50.11571179999999, 8.6697766",60325
"50.1088038, 8.6473554",60327
"50.11414728, 8.68664445",60313
"50.10994685, 8.674006617",60311
"50.1263764, 8.693575599999999",60316
"50.09748402, 8.68668605",60598
"50.1142186, 8.6776962",60313
"50.11510429999999, 8.678149267",60313
"50.1067406, 8.6494098",60327
"50.1138699, 8.679312300000001",60313
"50.10133498, 8.685502817",60594
"50.11407367, 8.675041732999999",60313
"50.10607968, 8.672096482999999",60329
"50.12082872, 8.694922117",60316
"50.10732612, 8.72628385",63067
"50.1135626, 8.6278277",60486
"50.09911293, 8.632841",60326
"50.11421207, 8.676673800000001",60313
"50.10746987, 8.70829035",60314
"50.111200399999994, 8.6369569",60486
"50.1317344, 8.68954725",60318
"50.1162152, 8.673032067000001",60313
"50.12070867, 8.651058183",60325
"50.117991700000005, 8.6283075",60486
"50.10754942, 8.665214417",60329
"50.1073517, 8.671494599999999",60329
"50.10797973, 8.666755683",60329
"50.1291506, 8.723777199999999",60386
"50.10531337, 8.662726667000001",60329
"50.11699555, 8.67994765",60313
"50.117793299999995, 8.6280776",60486
"50.1133912, 8.6795173",60313
"50.1200385, 8.6746109",60322
"50.108351500000005, 8.6820892",60311
"50.1034881, 8.6732634",60596
"50.10791858, 8.655681800000002",60327
"50.16230125, 8.636379533",60439
"50.09938092, 8.666417633",60596
"50.10924565, 8.651713583",60327
"50.11758682, 8.631747232999999",60486
"50.1133201, 8.7534145",63067
"50.10795353, 8.661413667",60329
"50.10488462, 8.67574815",60596
"50.14042982, 8.679730283",60320
"50.11391923, 8.679610267000001",60313
"50.11921833, 8.665430800000001",60323
"50.09885743, 8.634062017",60326
"50.1133765, 8.707538699999999",60314
"50.10640838, 8.668998967",60329
"50.08017437, 8.632255267",60528
"50.08354208, 8.6443155",60528
"50.12443572, 8.686277333",60318
"50.1140468, 8.680481599999998",60313
"50.11434413, 8.719184",60314
"50.1156824, 8.669804899999999",60325
"50.10920977, 8.651641332999999",60327
"50.1026979, 8.639193400000002",60326
"50.1004627, 8.656203017000001",60327
"50.1083095, 8.6812995",60311
"50.1044702, 8.6720826",60596
"50.11608982, 8.669946982999999",60306
"50.13262617, 8.625920599999999",60488
"50.10773742, 8.5868662",65934
"50.1132685, 8.652652699999999",60325
"50.1180853875, 8.66342050425",60325
"50.11099857, 8.671491067",60329
"50.09665477, 8.537642067",65929
"50.09906482, 8.549859482999999",65929
"50.13028845, 8.645423133",60487
"50.11800585, 8.707364633",60385
"50.13173038, 8.672715333",60322
"50.13197508, 8.673002199999999",60322
